Size     Mo/NC/ AC/ FC/ DR   Ident       Dsize   NCC     TCC     BT/V    AP      S       Total    NumS    BJ   TypA/B    FCcost    DRcost    AS/AStime   ConsSort
900      bt/T/  BEFORE/ T/ T 8634259052  1.0     5939    2610    4/5     71.38   0.02    71.4     1       0    0/0       10        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 1414384866  1.0     6624    4220    4/5     106.81  0.01    106.82   1       0    0/0       10        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 1621232424  1.0     6506    2752    4/5     79.9    0.02    79.92    1       0    0/0       10        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 1972691557  1.0     6516    2803    4/5     87.61   0.02    87.63    1       0    0/0       10        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 2028154060  1.0     6602    4023    4/5     104.22  0.02    104.24   1       0    0/0       10        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 2175312090  1.2     6622    3238    4/6     89.6    0.06    89.66    2       0    0/0       14        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 2258260002  1.2     6648    3899    4/6     107.2   0.07    107.27   2       0    0/0       14        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 4997565789  1.0     6656    5294    4/5     132.74  0.01    132.76   1       0    0/0       10        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 5192471197  1.0     6607    3452    4/5     94.52   0.02    94.54    1       0    0/0       10        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 5448756273  1.0     6575    3157    4/5     90.24   0.01    90.25    1       0    0/0       10        6         RANDOM/0.0  RANDOM
1000     bt/T/  BEFORE/ T/ T 8634259052  1.0     6572    2995    4/5     86.99   0.01    87.0     1       0    0/0       10        6         RANDOM/0.0  RANDOM
